location,year,species,isolate,fungicide,loc,lat,lon,region,note,SSR1,SSR3,SSR4,SSR5,SSR6,SSR7,SSR8,SSR9,SSR10,SSR12,SSR18,SSR20,SSR21,SSR22,SSR23,SSR26,SSR27,SSR28,SSR16,SSR19,SSR25,SNOD8,SSR15,SNOD3,SNOD23,SNOD1,SSR17,SSR14,SNOD5,SSR24
Arrowsmith East,2014,stago,15FG109,1,Arr,-29.5426991,115.08,Eneabba,FG109_ArrSmith15,266,188,240,194,193,222,152,197,228,191,241,135,194,303,231,148,211,289,209,131,232,592,207,340,332,311,212,284,458,214
Arrowsmith East,2014,stago,15FG324,0,Arr,-29.5426991,115.08,Eneabba,15FG324_ArrowSmithEast,248,188,249,187,193,251,152,193,228,198,241,172,294,234,231,148,159,289,216,131,130,625,207,115,286,513,195,288,458,223
Badgingarra,1990,stago,WAC8390,0,Bad,-30.4416626,115.0543751,Dandaragan,WAC8390_Badgin90,250,188,225,194,193,253,177,193,223,191,244,160,265,295,186,148,162,295,199,131,234,592,189,340,332,311,NA,270,455,204
Badgingarra,1991,stago,WAC8410,0,Bad,-30.4416626,115.0543751,Dandaragan,WAC8410_Badgin91,277,188,225,179,193,253,152,201,242,198,244,160,263,303,252,148,196,307,203,124,234,592,210,340,332,311,193,274,458,214
Badgingarra,1996,Ptm,SG1,0,Bad,-30.4416626,115.0543751,Dandaragan,Julie_Ptm,130,406,182,194,188,208,184,212,110,213,311,106,263,159,214,363,157,307,220,131,213,603,179,426,286,416,333,377,458,NA
Badgingarra,2014,stago,WAC740,0,Bad,-30.4416626,115.0543751,Dandaragan,WAC740_Badgin14,266,188,225,210,193,257,184,193,228,191,244,135,280,274,231,148,222,289,205,NA,234,592,207,328,332,361,174,265,458,232
Carnamah,2014,stago,WAC741,0,Car,-29.7098414,115.3106049,Eneabba,WAC741_Carnamah14,266,188,225,210,193,257,184,193,228,191,244,135,263,274,231,148,222,289,205,258,234,592,207,328,332,333,174,265,458,232
Cunderdin,2015,stago,15FG226,1,Cun,-31.64,117.13,Northam,15FG226_Cunderdin15,259,188,224,187,193,282,161,193,233,198,244,135,288,234,177,148,159,289,225,260,215,625,207,328,332,358,195,270,462,204
Dandaragan,2015,stago,15FG100,1,Dan,-30.6145836,115.4623227,Dandaragan,FG100_Dandar15,266,188,210,179,193,216,177,154,191,235,240,160,192,310,204,148,199,314,195,131,130,592,186,340,332,311,217,183,453,214
Dandaragan,2015,stago,15FG101,1,Dan,-30.6145836,115.4623227,Dandaragan,FG101_Dandar15,266,188,224,194,193,265,152,193,242,191,240,135,192,303,167,148,156,289,203,131,238,592,207,340,332,358,193,284,455,214
Dandaragan,2015,stago,15FG102,1,Dan,-30.6145836,115.4623227,Dandaragan,FG102_Dandar15,248,188,84,194,193,299,169,193,236,198,244,135,192,303,250,148,196,287,203,131,NA,592,207,340,332,311,193,265,455,232
Dandaragan,2015,stago,15FG103,1,Dan,-30.6145836,115.4623227,Dandaragan,FG103_Dandar15,248,188,194,194,193,299,169,193,236,198,244,135,192,303,250,148,196,287,199,131,NA,592,207,340,332,311,193,265,455,232
Dandaragan,2015,stago,15FG104,1,Dan,-30.6145836,115.4623227,Dandaragan,FG104_Dandar15,266,188,210,210,193,216,177,193,236,191,237,160,194,303,250,148,156,292,195,131,NA,592,172,328,332,311,223,257,455,214
Dandaragan,2015,stago,15FG105,1,Dan,-30.6145836,115.4623227,Dandaragan,FG105_Dandar15,266,188,192,194,193,276,177,154,228,206,241,135,194,303,177,162,167,307,197,131,238,592,193,328,332,311,223,187,462,177
Dandaragan,2015,stago,15FG99,1,Dan,-30.6145836,115.4623227,Dandaragan,FG099_Dandar15,266,188,224,171,193,276,152,193,228,227,240,160,282,303,231,148,199,310,223,131,232,625,207,328,332,364,191,276,458,186
Dongara,2013,stago,WAC13690,0,Don,-29.242515,114.8996558,Geraldton,WAC13690_Dongara13,250,188,210,171,193,293,169,197,223,191,241,160,192,303,167,148,173,289,209,131,234,592,210,NA,332,311,191,183,458,214
Dongara,2013,stago,WAC13691,0,Don,-29.242515,114.8996558,Geraldton,WAC13691_Dongara13,250,188,210,171,193,247,169,197,223,191,241,160,192,303,167,148,173,289,207,146,234,592,210,340,332,311,191,183,453,232
East Buntine,2014,stago,15FG53,0,EBun,-29.9569931,116.0078397,East Buntine,15FG53_EastBuntine,266,188,240,171,193,222,152,197,228,191,241,135,208,303,231,148,211,292,205,131,232,592,213,328,332,311,212,179,458,214
East Buntine,2014,stago,53FG143,0,EBun,-29.9569931,116.0078397,East Buntine,53FG143_EastBun14,257,188,225,202,202,216,177,197,223,191,241,178,211,226,213,148,196,307,248,131,234,592,220,340,332,333,174,198,458,214
