isolate,colour,group
16FG158,#ffbb33,2
206FG68,#ffbb33,2
203FG213,#ffbb33,2
WAC13666,#ffbb33,2
WAC13667,#ffbb33,2
204FG222,#ffbb33,2
15FG237,#ffbb33,2
15FG229,#ffbb33,2
FGW003_5,#ffbb33,2
Meck1,#ffbb33,2
15FG105,#3399ff,1
FG106,#3399ff,1
15FG110,#3399ff,1
16FG159,#ffbb33,2
Meck6,#ffbb33,2
15FG104,#3399ff,1
WAC4808,#ffbb33,2
Northam_Mace1,#3399ff,1
206FG226,#ffbb33,2
15FG119,#3399ff,1
15FG118,#3399ff,1
16FG164,#ff3333,5
16FG166,#ff3333,5
16FG165,#ff3333,5
16FG168,#ff3333,5
16FG167,#ff3333,5
16FG169,#ff3333,5
16FG160,#ff3333,5
16FG163,#ff3333,5
16FG161,#ff3333,5
16FG171,#ff3333,5
204FG223,#ffbb33,2
Northam_Emu2,#3399ff,1
Meck3,#ffbb33,2
WAC8384,#ffbb33,2
15FG33,#ffbb33,1
Mur_S3,#3399ff,1
205FG225,#3399ff,1
15FG112,#3399ff,1
15FG113,#3399ff,1
FG107,#3399ff,1
WAC13523,#ffbb33,2
WAC13069,#ffbb33,2
WAC13527,#ffbb33,2
WAC13524,#ffbb33,2
WAC13068,#ffbb33,2
WAC13531,#ffbb33,2
WAC13530,#ffbb33,2
WAC13529,#ffbb33,2
WAC4648,#ffbb33,2
WAC4319,#ffbb33,2
WAC8390,#ffbb33,2
S1FT3A,#ffbb33,2
204FG221,#ffbb33,2
Mur_51,#ffbb33,2
WAC13955,#ffbb33,2
206FG66,#ffbb33,2
206FG227,#ffbb33,2
201FG209,#ffbb33,2
201FG218,#ffbb33,2
Northam_Mace2,#ffbb33,2
Gerald4,#ffbb33,2
201FG211,#ffbb33,2
S1FT3B,#ffbb33,2
S4FT3A,#ffbb33,2
202FG212,#ffbb33,2
204FG214,#ffbb33,2
201FG208,#ffbb33,2
16FG06,#ffbb33,2
Northam_Emu1,#ffbb33,2
WAC8410,#ffbb33,2
WAC4321,#ffbb33,2
WAC4303,#ffbb33,2
WAC13070,#884dff,4
WAC13074,#884dff,4
WAC13075,#884dff,4
WAC13076,#884dff,4
WAC13403,#884dff,4
WAC13404,#884dff,4
WAC13446,#884dff,4
WAC13525,#884dff,4
WAC13526,#884dff,4
WAC13528,#884dff,4
WAC13532,#884dff,4
WAC13630,#884dff,4
WAC13631,#884dff,4
WAC13632,#884dff,4
WAC2285,#3399ff,2
205FG410,#ffbb33,2
201FG217,#ffbb33,2
53FG143,#ffbb33,2
202FG414,#3399ff,1
206FG67,#3399ff,1
205FG142,#3399ff,1
203FG58,#ffbb33,2
15FG117,#3399ff,1
15FG116,#3399ff,1
15FG114,#3399ff,1
FG108,#3399ff,1
201FG219,#ffbb33,2
Meck8,#ffbb33,2
15FG101,#3399ff,1
15FG102,#3399ff,1
15FG103,#3399ff,1
WAC13691,#ffbb33,2
WAC13690,#ffbb33,2
15FG53,#3399ff,1
15FG109,#3399ff,1
205FG216,#ffbb33,2
WAC13617,#3399ff,1
WAC13616,#3399ff,1
WAC13615,#3399ff,1
WAC739,#3399ff,1
WAC740,#3399ff,1
WAC741,#3399ff,1
205FG63,#3399ff,1
205FG212,#3399ff,1
205FG215,#3399ff,1
15FG226,#3399ff,1
15FG115,#3399ff,1
15FG120,#3399ff,1
15FG31,#3399ff,1
15FG38,#3399ff,1
15FG235,#3399ff,1
15FG107,#3399ff,1
Nor_RAC2182_1,#3399ff,1
15FG28,#3399ff,1
15FG100,#3399ff,1
Northam_WGT,#3399ff,1
15FG04,#3399ff,1
WAC13071,#ffbb33,2
Nor_RAC2182_2,#3399ff,1
15FG111,#3399ff,1
15FG49,#3399ff,1
15FG47,#3399ff,1
WAC13073,#ffbb33,2
WAC13072,#ffbb33,2
WAC13402,#ffbb33,2
WAC13443,#ffbb33,2
WAC13077,#ffbb33,2
201FG49,#3399ff,1
15FG99,#3399ff,1
WAC2216,#ffbb33,2
15FG37,#3399ff,1
WAC2813,#5cd65c,3
WAC8635,#5cd65c,3
WAC13418,#5cd65c,3
WAC9178,#5cd65c,3
Sn15,#5cd65c,3
WAC13405,#5cd65c,3
WAC13447,#5cd65c,3
Northam_Magenta,#3399ff,1
15FG324,#3399ff,1
