gene,seqid,haps,new_hap
Tox1,Fr13-9_Tox1,1,H03
Tox1,Fr13-24_Tox1,1,H03
Tox1,Tox1_JN791684_H3_full,1,H03
Tox1,Fr15_57,1,H03
Tox1,Fr13-21_Tox1,2,H12
Tox1,Fr13-28_Tox1,2,H12
Tox1,Tox1_JN791692_H12_full,2,H12
Tox1,15FG47,2,H12
Tox1,15FG49,2,H12
Tox1,FG114,2,H12
Tox1,FG116,2,H12
Tox1,FG117,2,H12
Tox1,RAC2182_2,2,H12
Tox1,Fr13-23_Tox1,3,H10
Tox1,Tox1_JN791690_H10_full,3,H10
Tox1,Fr15_29,3,H10
Tox1,Fr14-05_Tox1,4,H05
Tox1,Tox1_JN791685_H5_full,4,H05
Tox1,Fr13-01_Tox1,5,H23
Tox1,Fr15_12,5,H23
Tox1,Fr15_15,5,H23
Tox1,Fr15_21,5,H23
Tox1,Fr15_27,5,H23
Tox1,Fr13-04_Tox1,6,H24
Tox1,Gerald1,7,H01
Tox1,16FG06,7,H01
Tox1,16FG158,7,H01
Tox1,16FG159,7,H01
Tox1,16FG160,7,H01
Tox1,16FG161,7,H01
Tox1,16FG162,7,H01
Tox1,16FG163,7,H01
Tox1,16FG164,7,H01
Tox1,16FG165,7,H01
Tox1,16FG166,7,H01
Tox1,16FG167,7,H01
Tox1,16FG168,7,H01
Tox1,16FG169,7,H01
Tox1,16FG170,7,H01
Tox1,16FG171,7,H01
Tox1,WAC13955,7,H01
Tox1,Tox1_JN791682_H1_full,7,H01
Tox1,204FG214,7,H01
Tox1,903FG214,7,H01
Tox1,WAC13068,7,H01
Tox1,WAC13069,7,H01
Tox1,WAC13070,7,H01
Tox1,WAC13074,7,H01
Tox1,WAC13075,7,H01
Tox1,WAC13076,7,H01
Tox1,WAC13403,7,H01
Tox1,WAC13404,7,H01
Tox1,WAC13405,7,H01
Tox1,WAC13418,7,H01
Tox1,WAC13446,7,H01
Tox1,WAC13447,7,H01
Tox1,WAC13523,7,H01
Tox1,WAC13524,7,H01
Tox1,WAC13525,7,H01
Tox1,WAC13526,7,H01
Tox1,WAC13527,7,H01
Tox1,WAC13528,7,H01
Tox1,WAC13529,7,H01
Tox1,WAC13530,7,H01
Tox1,WAC13532,7,H01
Tox1,WAC13616,7,H01
Tox1,WAC13617,7,H01
Tox1,WAC13630,7,H01
Tox1,WAC13631,7,H01
Tox1,WAC13632,7,H01
Tox1,WAC13666,7,H01
Tox1,WAC13667,7,H01
Tox1,WAC13690,7,H01
Tox1,WAC13691,7,H01
Tox1,15FG04,7,H01
Tox1,15FG28,7,H01
Tox1,15FG31,7,H01
Tox1,15FG33,7,H01
Tox1,15FG37,7,H01
Tox1,15FG38,7,H01
Tox1,FG099,7,H01
Tox1,FG100,7,H01
Tox1,FG102,7,H01
Tox1,FG103,7,H01
Tox1,FG104,7,H01
Tox1,FG105,7,H01
Tox1,FG106,7,H01
Tox1,FG107,7,H01
Tox1,FG109,7,H01
Tox1,FG110,7,H01
Tox1,FG112,7,H01
Tox1,FG113,7,H01
Tox1,FG115,7,H01
Tox1,FG118,7,H01
Tox1,FG119,7,H01
Tox1,201FG49,7,H01
Tox1,203FG58,7,H01
Tox1,205FG63,7,H01
Tox1,206FG66,7,H01
Tox1,206FG67,7,H01
Tox1,206FG68,7,H01
Tox1,205FG142,7,H01
Tox1,53FG143,7,H01
Tox1,203FG213,7,H01
Tox1,204FG222,7,H01
Tox1,205FG410,7,H01
Tox1,202FG414,7,H01
Tox1,206FG226,7,H01
Tox1,205FG215,7,H01
Tox1,201FG209,7,H01
Tox1,201FG211,7,H01
Tox1,202FG212,7,H01
Tox1,204FG221,7,H01
Tox1,204FG223,7,H01
Tox1,205FG225,7,H01
Tox1,206FG227,7,H01
Tox1,205FG216,7,H01
Tox1,201FG219,7,H01
Tox1,201FG218,7,H01
Tox1,WAC13739,7,H01
Tox1,WAC13740,7,H01
Tox1,WAC13741,7,H01
Tox1,Fr15_19,7,H01
Tox1,Nor_Magenta,7,H01
Tox1,Nor_Emu1,7,H01
Tox1,Nor_Mace1,7,H01
Tox1,RAC2182_1,7,H01
Tox1,W003_5,7,H01
Tox1,WGT,7,H01
Tox1,15FG53,7,H01
Tox1,15FG107_4,7,H01
Tox1,Meck1,7,H01
Tox1,Meck3,7,H01
Tox1,Meck5,7,H01
Tox1,Meck6,7,H01
Tox1,Site1FT3A,7,H01
Tox1,Site1FT3B,7,H01
Tox1,WAC2216,7,H01
Tox1,WAC2810,7,H01
Tox1,WAC2813,7,H01
Tox1,WAC4303,7,H01
Tox1,WAC4319,7,H01
